,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
356,Rocket Companies,NVR,JPMorgan Chase,Ally Financial,Avis Budget Group
357,Rockwell Automation,Avnet,Arrow Electronics,Automatic Data Processing,Applied Materials
358,Roper Technologies,3M,A-Mark Precious Metals,AECOM,AGCO
359,Ross Stores,Avantor,Advance Auto Parts,AutoNation,AutoZone
360,S&P Global,Ally Financial,Bank of America,Bank of New York Mellon,Assurant
361,Salesforce,Adobe,AmerisourceBergen,3M,Bank of New York Mellon
362,Sanmina,Jabil,Applied Materials,3M,AGCO
363,Science Applications International,AT&T,Arrow Electronics,Avnet,Automatic Data Processing
364,Seaboard,AGCO,Automatic Data Processing,Beacon Roofing Supply,Assurant
365,Securian Financial Group,AIG,Auto-Owners Insurance,American Family Insurance Group,American Financial Group
366,Sempra,Baker Hughes,NextEra Energy,Ameren,AECOM
367,Sherwin-Williams,O'Reilly Automotive,3M,AGCO,AutoZone
368,Sonic Automotive,AutoNation,Advance Auto Parts,Autoliv,AutoZone
369,Southwest Airlines,American Airlines Group,AutoZone,Altice USA,Aramark
370,Southwestern Energy,Baker Hughes,Ameren,Air Products & Chemicals,Avery Dennison
371,SpartanNash,Advance Auto Parts,BJ's Wholesale Club,AutoNation,AutoZone
372,Stanley Black & Decker,Advance Auto Parts,Autoliv,AutoZone,AutoNation
373,Starbucks,Archer Daniels Midland,Albertsons,AutoZone,Apple
374,State Farm Insurance,Auto-Owners Insurance,Assurant,AIG,Allstate
375,State Street,Bank of New York Mellon,Bank of America,Ally Financial,Ameriprise Financial
376,Steel Dynamics,Aramark,AutoNation,AECOM,Beacon Roofing Supply
377,StoneX Group,3M,A-Mark Precious Metals,AECOM,AGCO
378,Stryker,AbbVie,AmerisourceBergen,Amgen,Aramark
379,Synchrony Financial,Allstate,Assurant,Ally Financial,Ameriprise Financial
380,Sysco,Aramark,Archer Daniels Midland,AmerisourceBergen,Avnet
381,T. Rowe Price,Ally Financial,Jefferies Financial Group,Apollo Global Management,Assurant
382,TD Synnex,3M,A-Mark Precious Metals,AECOM,AGCO
